Date,Value
2013-05-22,7440.0
2013-05-23,7465.0
2013-05-24,7490.0
2013-05-25,7515.0
2013-05-26,7535.0
2013-05-27,7559.0
2013-05-28,7583.0
2013-05-29,7608.0
2013-05-30,7634.0
2013-05-31,7660.0
2013-06-01,7684.0
2013-06-02,7707.0
2013-06-03,7731.0
2013-06-04,7757.0
2013-06-05,7782.0
2013-06-06,7807.0
2013-06-07,7831.0
2013-06-08,7852.0
2013-06-09,7872.0
2013-06-10,7890.0
2013-06-11,7911.0
2013-06-12,7931.0
2013-06-13,7950.0
2013-06-14,7971.0
2013-06-15,7989.0
2013-06-16,8006.0
2013-06-17,8024.0
2013-06-18,8044.0
2013-06-19,8064.0
2013-06-20,8085.0
2013-06-21,8109.0
2013-06-22,8128.0
2013-06-23,8145.0
2013-06-24,8163.0
2013-06-25,8182.0
2013-06-26,8201.0
2013-06-27,8221.0
2013-06-28,8242.0
2013-06-29,8259.0
2013-06-30,8273.0
2013-07-01,8288.0
2013-07-02,8306.0
2013-07-03,8321.0
2013-07-04,8335.0
2013-07-05,8350.0
2013-07-06,8365.0
2013-07-07,8378.0
2013-07-08,8394.0
2013-07-09,8412.0
2013-07-10,8429.0
2013-07-11,8447.0
2013-07-12,8469.0
2013-07-13,8487.0
2013-07-14,8502.0
2013-07-15,8518.0
2013-07-16,8534.0
2013-07-17,8551.0
2013-07-18,8569.0
2013-07-19,8585.0
2013-07-20,8599.0
2013-07-21,8615.0
2013-07-22,8631.0
2013-07-23,8648.0
2013-07-24,8665.0
2013-07-25,8684.0
2013-07-26,8702.0
2013-07-27,8717.0
2013-07-28,8731.0
2013-07-29,8750.0
2013-07-30,8767.0
2013-07-31,8791.0
2013-08-01,8811.0
2013-08-02,8834.0
2013-08-03,8855.0
2013-08-04,8874.0
2013-08-05,8894.0
2013-08-06,8916.0
2013-08-07,8940.0
2013-08-08,8964.0
2013-08-09,8986.0
2013-08-10,9008.0
2013-08-11,9025.0
2013-08-12,9048.0
2013-08-13,9074.0
2013-08-14,9096.0
2013-08-15,9123.0
2013-08-16,9151.0
2013-08-17,9175.0
2013-08-18,9197.0
2013-08-19,9226.0
2013-08-20,9255.0
2013-08-21,9281.0
2013-08-22,9306.0
2013-08-23,9332.0
2013-08-24,9355.0
2013-08-25,9374.0
2013-08-26,9398.0
2013-08-27,9425.0
2013-08-28,9452.0
2013-08-29,9476.0
2013-08-30,9502.0
2013-08-31,9524.0
2013-09-01,9544.0
2013-09-02,9565.0
2013-09-03,9588.0
2013-09-04,9609.0
2013-09-05,9633.0
2013-09-06,9659.0
2013-09-07,9681.0
2013-09-08,9700.0
2013-09-09,9723.0
2013-09-10,9745.0
2013-09-11,9765.0
2013-09-12,9787.0
2013-09-13,9808.0
2013-09-14,9828.0
2013-09-15,9848.0
2013-09-16,9869.0
2013-09-17,9898.0
2013-09-18,9925.0
2013-09-19,9949.0
2013-09-20,9973.0
2013-09-21,9995.0
2013-09-22,10017.0
2013-09-23,10042.0
2013-09-24,10069.0
2013-09-25,10093.0
2013-09-26,10117.0
2013-09-27,10139.0
2013-09-28,10159.0
2013-09-29,10177.0
2013-09-30,10195.0
2013-10-01,10218.0
2013-10-02,10246.0
2013-10-03,10275.0
2013-10-04,10298.0
2013-10-05,10319.0
2013-10-06,10339.0
2013-10-07,10358.0
2013-10-08,10377.0
2013-10-09,10398.0
2013-10-10,10423.0
2013-10-11,10446.0
2013-10-12,10468.0
2013-10-13,10492.0
2013-10-14,10519.0
2013-10-15,10544.0
2013-10-16,10568.0
2013-10-17,10589.0
2013-10-18,10615.0
2013-10-19,10641.0
2013-10-20,10665.0
2013-10-21,10692.0
2013-10-22,10723.0
2013-10-23,10749.0
2013-10-24,10781.0
2013-10-25,10810.0
2013-10-26,10833.0
2013-10-27,10853.0
2013-10-28,10874.0
2013-10-29,10897.0
2013-10-30,10920.0
2013-10-31,10945.0
2013-11-01,10968.0
2013-11-02,10989.0
2013-11-03,11007.0
2013-11-04,11028.0
2013-11-05,11053.0
2013-11-06,11082.0
2013-11-07,11111.0
2013-11-08,11140.0
2013-11-09,11168.0
2013-11-10,11197.0
2013-11-11,11222.0
2013-11-12,11248.0
2013-11-13,11276.0
2013-11-14,11308.0
2013-11-15,11336.0
2013-11-16,11360.0
2013-11-17,11382.0
2013-11-18,11418.0
2013-11-19,11465.0
2013-11-20,11502.0
2013-11-21,11540.0
2013-11-22,11577.0
2013-11-23,11612.0
2013-11-24,11640.0
2013-11-25,11671.0
2013-11-26,11707.0
2013-11-27,11748.0
2013-11-28,11792.0
2013-11-29,11831.0
2013-11-30,11868.0
2013-12-01,11900.0
2013-12-02,11934.0
2013-12-03,11970.0
2013-12-04,12006.0
2013-12-05,12046.0
2013-12-06,12079.0
2013-12-07,12112.0
2013-12-08,12135.0
2013-12-09,12161.0
2013-12-10,12195.0
2013-12-11,12226.0
2013-12-12,12252.0
2013-12-13,12280.0
2013-12-14,12311.0
2013-12-15,12339.0
2013-12-16,12371.0
2013-12-17,12406.0
2013-12-18,12444.0
2013-12-19,12474.0
2013-12-20,12505.0
2013-12-21,12535.0
2013-12-22,12559.0
2013-12-23,12585.0
2013-12-24,12613.0
2013-12-25,12641.0
2013-12-26,12667.0
2013-12-27,12694.0
2013-12-28,12718.0
2013-12-29,12742.0
2013-12-30,12774.0
2013-12-31,12800.0
2014-01-01,12819.0
2014-01-02,12843.0
2014-01-03,12873.0
2014-01-04,12899.0
2014-01-05,12927.0
2014-01-06,12962.0
2014-01-07,12993.0
2014-01-08,13023.0
2014-01-09,13050.0
2014-01-10,13077.0
2014-01-11,13105.0
2014-01-12,13129.0
2014-01-13,13155.0
2014-01-14,13181.0
2014-01-15,13210.0
2014-01-16,13236.0
2014-01-17,13264.0
2014-01-18,13288.0
2014-01-19,13312.0
2014-01-20,13343.0
2014-01-21,13378.0
2014-01-22,13409.0
2014-01-23,13440.0
2014-01-24,13472.0
2014-01-25,13498.0
2014-01-26,13523.0
2014-01-27,13552.0
2014-01-28,13583.0
2014-01-29,13611.0
2014-01-30,13640.0
2014-01-31,13669.0
2014-02-01,13697.0
2014-02-02,13724.0
2014-02-03,13755.0
2014-02-04,13789.0
2014-02-05,13824.0
2014-02-06,13860.0
2014-02-07,13897.0
2014-02-08,13929.0
2014-02-09,13957.0
2014-02-10,13989.0
2014-02-11,14018.0
2014-02-12,14058.0
2014-02-13,14095.0
2014-02-14,14136.0
2014-02-15,14170.0
2014-02-16,14197.0
2014-02-17,14225.0
2014-02-18,14262.0
2014-02-19,14298.0
2014-02-20,14337.0
2014-02-21,14376.0
2014-02-22,14407.0
2014-02-23,14440.0
2014-02-24,14477.0
2014-02-25,14523.0
2014-02-26,14563.0
2014-02-27,14600.0
2014-02-28,14637.0
2014-03-01,14676.0
2014-03-02,14709.0
2014-03-03,14750.0
2014-03-04,14800.0
2014-03-05,14844.0
2014-03-06,14884.0
2014-03-07,14922.0
2014-03-08,14958.0
2014-03-09,14992.0
2014-03-10,15029.0
2014-03-11,15069.0
2014-03-12,15110.0
2014-03-13,15150.0
2014-03-14,15187.0
2014-03-15,15221.0
2014-03-16,15248.0
2014-03-17,15279.0
2014-03-18,15305.0
2014-03-19,15336.0
2014-03-20,15371.0
2014-03-21,15412.0
2014-03-22,15452.0
2014-03-23,15481.0
2014-03-24,15516.0
2014-03-25,15553.0
2014-03-26,15589.0
2014-03-27,15628.0
2014-03-28,15666.0
2014-03-29,15694.0
2014-03-30,15725.0
2014-03-31,15758.0
2014-04-01,15793.0
2014-04-02,15829.0
2014-04-03,15864.0
2014-04-04,15899.0
2014-04-05,15932.0
2014-04-06,15960.0
2014-04-07,15992.0
2014-04-08,16032.0
2014-04-09,16067.0
2014-04-10,16106.0
2014-04-11,16142.0
2014-04-12,16170.0
2014-04-13,16197.0
2014-04-14,16233.0
2014-04-15,16275.0
2014-04-16,16316.0
2014-04-17,16354.0
2014-04-18,16384.0
2014-04-19,16414.0
2014-04-20,16442.0
2014-04-21,16473.0
2014-04-22,16511.0
2014-04-23,16548.0
2014-04-24,16584.0
2014-04-25,16626.0
2014-04-26,16657.0
2014-04-27,16686.0
2014-04-28,16719.0
2014-04-29,16754.0
2014-04-30,16789.0
2014-05-01,16823.0
2014-05-02,16855.0
2014-05-03,16883.0
2014-05-04,16912.0
2014-05-05,16945.0
2014-05-06,16984.0
2014-05-07,17021.0
2014-05-08,17056.0
2014-05-09,17092.0
2014-05-10,17122.0
2014-05-11,17151.0
2014-05-12,17188.0
2014-05-13,17225.0
2014-05-14,17262.0
2014-05-15,17301.0
2014-05-16,17338.0
2014-05-17,17370.0
2014-05-18,17401.0
2014-05-19,17438.0
2014-05-20,17477.0
2014-05-21,17519.0
2014-05-22,17557.0
2014-05-23,17597.0
2014-05-24,17628.0
2014-05-25,17659.0
2014-05-26,17695.0
2014-05-27,17732.0
2014-05-28,17772.0
2014-05-29,17808.0
2014-05-30,17844.0
2014-05-31,17874.0
2014-06-01,17906.0
2014-06-02,17940.0
2014-06-03,17980.0
2014-06-04,18016.0
2014-06-05,18053.0
2014-06-06,18090.0
2014-06-07,18119.0
2014-06-08,18147.0
2014-06-09,18180.0
2014-06-10,18218.0
2014-06-11,18253.0
2014-06-12,18288.0
2014-06-13,18325.0
2014-06-14,18357.0
2014-06-15,18387.0
2014-06-16,18424.0
2014-06-17,18460.0
2014-06-18,18496.0
2014-06-19,18530.0
2014-06-20,18564.0
2014-06-21,18593.0
2014-06-22,18623.0
2014-06-23,18654.0
2014-06-24,18690.0
2014-06-25,18726.0
2014-06-26,18760.0
2014-06-27,18793.0
2014-06-28,18824.0
2014-06-29,18855.0
2014-06-30,18890.0
2014-07-01,18933.0
2014-07-02,18971.0
2014-07-03,19006.0
2014-07-04,19038.0
2014-07-05,19063.0
2014-07-06,19094.0
2014-07-07,19127.0
2014-07-08,19167.0
2014-07-09,19208.0
2014-07-10,19243.0
2014-07-11,19278.0
2014-07-12,19308.0
2014-07-13,19339.0
2014-07-14,19371.0
2014-07-15,19408.0
2014-07-16,19445.0
2014-07-17,19482.0
2014-07-18,19518.0
2014-07-19,19550.0
2014-07-20,19582.0
2014-07-21,19615.0
2014-07-22,19652.0
2014-07-23,19689.0
2014-07-24,19724.0
2014-07-25,19760.0
2014-07-26,19791.0
2014-07-27,19821.0
2014-07-28,19855.0
2014-07-29,19890.0
2014-07-30,19926.0
2014-07-31,19964.0
2014-08-01,20001.0
2014-08-02,20033.0
2014-08-03,20062.0
2014-08-04,20096.0
2014-08-05,20136.0
2014-08-06,20180.0
2014-08-07,20219.0
2014-08-08,20257.0
2014-08-09,20291.0
2014-08-10,20325.0
2014-08-11,20366.0
2014-08-12,20408.0
2014-08-13,20451.0
2014-08-14,20496.0
2014-08-15,20534.0
2014-08-16,20585.0
2014-08-17,20619.0
2014-08-18,20655.0
2014-08-19,20694.0
2014-08-20,20732.0
2014-08-21,20773.0
2014-08-22,20810.0
2014-08-23,20841.0
2014-08-24,20873.0
2014-08-25,20909.0
2014-08-26,20949.0
2014-08-27,20988.0
2014-08-28,21026.0
2014-08-29,21061.0
2014-08-30,21094.0
2014-08-31,21126.0
2014-09-01,21162.0
2014-09-02,21201.0
2014-09-03,21239.0
2014-09-04,21276.0
2014-09-05,21312.0
2014-09-06,21348.0
2014-09-07,21384.0
2014-09-08,21422.0
2014-09-09,21464.0
2014-09-10,21518.0
2014-09-11,21553.0
2014-09-12,21588.0
2014-09-13,21620.0
2014-09-14,21658.0
2014-09-15,21700.0
2014-09-16,21750.0
2014-09-17,21791.0
2014-09-18,21833.0
2014-09-19,21870.0
2014-09-20,21904.0
2014-09-21,21939.0
2014-09-22,21978.0
2014-09-23,22017.0
2014-09-24,22063.0
2014-09-25,22109.0
2014-09-26,22149.0
2014-09-27,22186.0
2014-09-28,22228.0
2014-09-29,22268.0
2014-09-30,22312.0
2014-10-01,22355.0
